name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),price_range,price_range_sort
Cross Road Cafe,Yes,No,3.9,91,Jayanagar,Cafe,"Cafe, Fast Food, Chinese",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Kalpavruksha,Yes,No,3.9,99,Bannerghatta Road,Quick Bites,"South Indian, North Indian",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Lazeez,Yes,No,3.2,908,Koramangala 5th Block,Casual Dining,"North Indian, Mughlai, Biryani",600.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Sri Krishna Kitchen,Yes,No,3.6,41,BTM,Quick Bites,Fast Food,400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Domino's Pizza,Yes,No,3.7,386,BTM,Quick Bites,"Pizza, Fast Food",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Coffee Tea & More,Yes,No,4.0,63,Koramangala 5th Block,Quick Bites,"Beverages, Sandwich",150.0,Delivery,Jayanagar,Budget (₹0-300),1
Shaap,Yes,No,3.6,207,Koramangala 5th Block,Casual Dining,"Kerala, Seafood",500.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Crumb Together,Yes,Yes,4.1,590,JP Nagar,"Casual Dining, Bar","Continental, Finger Food, North Indian, Chinese",1200.0,Delivery,Jayanagar,Luxury (₹1000+),4
Sangam Sweets,Yes,No,3.8,75,Koramangala 3rd Block,Sweet Shop,"Mithai, Street Food",200.0,Delivery,Jayanagar,Budget (₹0-300),1
What's In A Name,Yes,Yes,4.1,1781,Koramangala 5th Block,Pub,"Finger Food, Asian, European, Italian",1200.0,Delivery,Jayanagar,Luxury (₹1000+),4
Kolkata King,Yes,No,3.4,6,Basavanagudi,Quick Bites,"Fast Food, Rolls",300.0,Delivery,Jayanagar,Budget (₹0-300),1
North Rasoe,Yes,No,3.1,6,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300.0,Delivery,Jayanagar,Budget (₹0-300),1
RK Fresh Food,Yes,No,3.5,13,BTM,Quick Bites,Fast Food,300.0,Delivery,Jayanagar,Budget (₹0-300),1
Ruchi's Corner,Yes,No,2.7,123,Banashankari,Quick Bites,Fast Food,200.0,Delivery,Jayanagar,Budget (₹0-300),1
Sri Sapana Dhaba,Yes,No,3.4,9,BTM,Quick Bites,North Indian,250.0,Delivery,Jayanagar,Budget (₹0-300),1
Naati Manae,Yes,No,3.1,10,JP Nagar,Food Court,"South Indian, Biryani",500.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Hotel Empark,Yes,No,3.4,16,Wilson Garden,Casual Dining,"Chinese, North Indian, Arabian",800.0,Delivery,Jayanagar,Premium (₹601-1000),3
Mr. Meetharam,Yes,No,3.2,34,JP Nagar,Quick Bites,"Mithai, Street Food",150.0,Delivery,Jayanagar,Budget (₹0-300),1
Hunger Hitman,Yes,No,3.8,257,Koramangala,Delivery,"North Indian, Chinese",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Krishna Vaibhava,Yes,No,3.5,40,BTM,Casual Dining,"North Indian, South Indian",350.0,Delivery,Jayanagar,Mid Range (₹301-600),2
The Chocolate Room,Yes,No,3.9,153,JP Nagar,Food Court,"Cafe, Desserts",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Hari Super Sandwich,No,No,4.4,1830,Jayanagar,Quick Bites,"Fast Food, Street Food",200.0,Delivery,Jayanagar,Budget (₹0-300),1
Navami,Yes,No,3.5,80,Jayanagar,Casual Dining,"Andhra, North Indian, Chinese, Mangalorean, Seafood, Biryani",750.0,Delivery,Jayanagar,Premium (₹601-1000),3
Speedbreaker,Yes,No,3.4,14,BTM,Quick Bites,North Indian,300.0,Delivery,Jayanagar,Budget (₹0-300),1
Nadan Thattukada,Yes,No,3.7,35,BTM,Quick Bites,Kerala,200.0,Delivery,Jayanagar,Budget (₹0-300),1
Smokey Tribe Restaurant,Yes,No,3.8,265,Koramangala 7th Block,Casual Dining,"North Eastern, Chinese",650.0,Delivery,Jayanagar,Premium (₹601-1000),3
Ibaco,Yes,No,4.0,198,Banashankari,Dessert Parlor,Desserts,300.0,Delivery,Jayanagar,Budget (₹0-300),1
Shringar Sweets & Snacks,Yes,No,3.5,11,Basavanagudi,"Sweet Shop, Quick Bites","Mithai, South Indian, Street Food, Fast Food",200.0,Delivery,Jayanagar,Budget (₹0-300),1
Utsav Restaurant,Yes,No,3.8,61,Banashankari,Quick Bites,"North Indian, Chinese",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Tandoori Bytes,Yes,No,3.6,60,Kumaraswamy Layout,Casual Dining,North Indian,700.0,Delivery,Jayanagar,Premium (₹601-1000),3
Moghul Durbar Restaurant,No,No,4.0,336,Jayanagar,Casual Dining,"North Indian, BBQ, Kebab, Rolls",550.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Biggies Burger 'n' More,Yes,No,3.8,208,BTM,"Cafe, Quick Bites","Cafe, Burger, Fast Food",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Havmor,Yes,No,3.9,22,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts",200.0,Delivery,Jayanagar,Budget (₹0-300),1
Khana Khazana,Yes,No,3.7,22,Bannerghatta Road,Delivery,North Indian,400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
The Pizzeria,Yes,No,2.8,45,Banashankari,Casual Dining,"Pizza, Italian, Salad",800.0,Delivery,Jayanagar,Premium (₹601-1000),3
Aalishan Restaurant & Caterer,Yes,No,3.5,888,Koramangala 7th Block,Casual Dining,"North Indian, Mughlai",650.0,Delivery,Jayanagar,Premium (₹601-1000),3
Karavali Family Restaurant,Yes,No,3.5,90,Jayanagar,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese",500.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Garden Fresh,Yes,No,3.9,51,BTM,Beverage Shop,"Healthy Food, Juices",200.0,Delivery,Jayanagar,Budget (₹0-300),1
Little Cafe,Yes,No,3.7,54,Basavanagudi,Cafe,"Cafe, Beverages",600.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Aami Bangali,Yes,No,3.6,68,Koramangala 5th Block,Casual Dining,Bengali,700.0,Delivery,Jayanagar,Premium (₹601-1000),3
Trippy Paradise,Yes,No,2.6,60,BTM,Cafe,Cafe,900.0,Delivery,Jayanagar,Premium (₹601-1000),3
Tempteys,Yes,No,4.2,249,BTM,"Dessert Parlor, Beverage Shop",Beverages,500.0,Delivery,Jayanagar,Mid Range (₹301-600),2
The Arabian Nights,Yes,No,2.6,51,BTM,"Takeaway, Delivery","Arabian, North Indian, Chinese",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Bangarpet Chat Express,Yes,No,3.3,6,Basavanagudi,Quick Bites,"Street Food, Fast Food",100.0,Delivery,Jayanagar,Budget (₹0-300),1
Salut,Yes,Yes,4.1,446,Jayanagar,"Pub, Casual Dining","Continental, Finger Food, Seafood, Pizza",1200.0,Delivery,Jayanagar,Luxury (₹1000+),4
Angel Restaurant,Yes,No,2.8,165,Bannerghatta Road,Quick Bites,"Kerala, South Indian, North Indian",450.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Bangaliana,Yes,No,3.9,453,Koramangala 7th Block,Casual Dining,Bengali,600.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Ghee Biryani House,Yes,No,3.1,7,BTM,Quick Bites,"North Indian, Biryani, Chinese, Arabian",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Aadhya Hotel,Yes,No,3.3,5,Basavanagudi,"Casual Dining, Bar","South Indian, North Indian, Chinese, Biryani",800.0,Delivery,Jayanagar,Premium (₹601-1000),3
Desipun,Yes,Yes,4.2,344,Koramangala 5th Block,Casual Dining,North Indian,700.0,Delivery,Jayanagar,Premium (₹601-1000),3
Sri Krishna Sweets,Yes,No,3.7,22,Basavanagudi,Sweet Shop,Mithai,250.0,Delivery,Jayanagar,Budget (₹0-300),1
Thyme & Whisk,Yes,No,3.9,74,Jayanagar,Casual Dining,"Asian, Chinese, Continental, Italian",800.0,Delivery,Jayanagar,Premium (₹601-1000),3
City Cafe,Yes,No,3.3,4,JP Nagar,"Beverage Shop, Quick Bites","Beverages, Juices, Fast Food, Rolls",200.0,Delivery,Jayanagar,Budget (₹0-300),1
Snack Knack,Yes,No,3.0,36,BTM,Quick Bites,"North Indian, Chinese",200.0,Delivery,Jayanagar,Budget (₹0-300),1
Sri Nandi Grand,Yes,No,3.4,6,BTM,Quick Bites,"North Indian, South Indian",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Shake It Off,Yes,No,4.4,658,Jayanagar,"Beverage Shop, Quick Bites","Beverages, Fast Food",600.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Xpress Chai,Yes,No,3.7,31,BTM,Beverage Shop,Tea,150.0,Delivery,Jayanagar,Budget (₹0-300),1
Cafe Ajfan,Yes,No,4.2,265,Jayanagar,Cafe,"Cafe, Continental, Beverages",700.0,Delivery,Jayanagar,Premium (₹601-1000),3
Dessi Cuppa,Yes,No,3.4,5,BTM,"Quick Bites, Beverage Shop","Beverages, Fast Food",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Kettle & Kegs,Yes,No,3.2,6,Banashankari,Delivery,"Tea, Beverages",200.0,Delivery,Jayanagar,Budget (₹0-300),1
Fillers,Yes,No,3.9,138,BTM,Quick Bites,"North Indian, Fast Food",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Thanco's Natural Ice Cream,Yes,No,3.6,28,BTM,Dessert Parlor,"Ice Cream, Desserts",450.0,Delivery,Jayanagar,Mid Range (₹301-600),2
The Foodyz,Yes,No,3.7,43,JP Nagar,Quick Bites,"North Indian, Chinese",500.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Curry Leaves,Yes,No,4.1,176,Basavanagudi,Casual Dining,"Andhra, North Indian, Chinese",800.0,Delivery,Jayanagar,Premium (₹601-1000),3
I Cool,Yes,No,4.0,77,JP Nagar,Quick Bites,"Juices, Fast Food",150.0,Delivery,Jayanagar,Budget (₹0-300),1
Udupi Thaja Thindi,Yes,No,2.9,42,BTM,Quick Bites,"North Indian, South Indian, Chinese, Fast Food",250.0,Delivery,Jayanagar,Budget (₹0-300),1
Paratha Plaza,Yes,No,3.8,171,JP Nagar,Quick Bites,North Indian,250.0,Delivery,Jayanagar,Budget (₹0-300),1
Miss Momo,Yes,No,3.2,12,BTM,Quick Bites,"Tibetan, Momos",250.0,Delivery,Jayanagar,Budget (₹0-300),1
Cane-O-La,Yes,No,3.8,61,Basavanagudi,Quick Bites,Juices,100.0,Delivery,Jayanagar,Budget (₹0-300),1
Kailash Parbat,No,No,3.9,77,Jayanagar,Food Court,"South Indian, Chinese, North Indian",1200.0,Delivery,Jayanagar,Luxury (₹1000+),4
Ruchis Point,Yes,No,3.8,75,Banashankari,Quick Bites,"Fast Food, Chinese",200.0,Delivery,Jayanagar,Budget (₹0-300),1
Funky Punjab,Yes,No,3.9,410,JP Nagar,Casual Dining,"North Indian, Chinese",500.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Mudpipe Cafe,Yes,Yes,4.5,1878,BTM,Cafe,"Cafe, Continental, Burger",900.0,Delivery,Jayanagar,Premium (₹601-1000),3
Alif Restaurant,Yes,No,3.6,27,JP Nagar,Casual Dining,"North Indian, Chinese",600.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Black Deer,Yes,No,4.4,149,Koramangala 5th Block,"Takeaway, Delivery","Beverages, Desserts",350.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Chai Kraft,Yes,No,4.1,30,Jayanagar,Beverage Shop,"Beverages, Tea",100.0,Delivery,Jayanagar,Budget (₹0-300),1
Crawl Street,Yes,Yes,4.3,2565,Koramangala 5th Block,Bar,"Continental, Finger Food, North Indian, Chinese",1200.0,Delivery,Jayanagar,Luxury (₹1000+),4
Enerjuvate Studio & Cafe,No,Yes,4.2,738,Jayanagar,Cafe,"Cafe, Continental, Beverages, Healthy Food, Desserts, Sandwich, Pizza, Salad",800.0,Delivery,Jayanagar,Premium (₹601-1000),3
Fava Bistro,Yes,Yes,4.4,385,Koramangala 5th Block,"Casual Dining, Bar","Mediterranean, Pizza, Italian, Beverages",1500.0,Delivery,Jayanagar,Luxury (₹1000+),4
Chaska Bun,Yes,No,4.2,166,Koramangala 5th Block,Quick Bites,Fast Food,300.0,Delivery,Jayanagar,Budget (₹0-300),1
Udupi Grand,Yes,No,3.8,76,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Dwaraka Grand,Yes,No,3.9,128,Kumaraswamy Layout,Casual Dining,"South Indian, Chinese, Street Food, Juices",500.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Y Not Restaurant,Yes,No,3.0,4,JP Nagar,"Takeaway, Delivery",Fast Food,300.0,Delivery,Jayanagar,Budget (₹0-300),1
The Krishna Grand Xpress,Yes,No,4.0,137,Jayanagar,Quick Bites,"South Indian, Fast Food",350.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Tunday Kababi,Yes,No,3.9,1139,Koramangala 5th Block,Casual Dining,"North Indian, Kebab",500.0,Delivery,Jayanagar,Mid Range (₹301-600),2
The Marash,Yes,No,4.3,64,Koramangala 5th Block,Dessert Parlor,"Turkish, Desserts",250.0,Delivery,Jayanagar,Budget (₹0-300),1
Karachi Bakery,Yes,No,3.3,5,Koramangala 5th Block,Bakery,"Bakery, Desserts",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
On The Nose,Yes,No,3.8,614,BTM,Cafe,"Cafe, Italian, Mexican, Chinese",600.0,Delivery,Jayanagar,Mid Range (₹301-600),2
City Durbar,Yes,No,3.7,72,Jayanagar,Casual Dining,"North Indian, Chinese, Biryani",450.0,Delivery,Jayanagar,Mid Range (₹301-600),2
World of Waffles,Yes,No,3.9,181,JP Nagar,Dessert Parlor,Desserts,400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Punjab Bistro,Yes,Yes,4.4,456,Koramangala 7th Block,"Casual Dining, Bar",North Indian,1500.0,Delivery,Jayanagar,Luxury (₹1000+),4
Woodee Pizza,Yes,No,2.7,85,JP Nagar,Cafe,"Cafe, Pizza, Fast Food, Beverages",500.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Sagar Fast Food,Yes,No,4.0,76,Koramangala 3rd Block,Quick Bites,"South Indian, North Indian, Fast Food",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Just Bunny,Yes,No,3.5,11,Jayanagar,Quick Bites,Fast Food,200.0,Delivery,Jayanagar,Budget (₹0-300),1
Chinese House,Yes,No,2.8,19,Jayanagar,Quick Bites,"Chinese, Thai, Momos",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Ragoo's,Yes,No,3.9,234,Jayanagar,Casual Dining,"Italian, Pizza, North Indian, Salad",800.0,Delivery,Jayanagar,Premium (₹601-1000),3
Desi Dhaba,Yes,No,3.3,13,BTM,Delivery,"North Indian, Chinese",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
KKR Foodies,Yes,No,3.7,37,BTM,Casual Dining,"Biryani, Chinese, Fast Food, North Indian",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Udupi Upachar,Yes,No,3.3,13,JP Nagar,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Me And My Cake,Yes,No,3.1,8,JP Nagar,Takeaway,"Bakery, Desserts",500.0,Delivery,Jayanagar,Mid Range (₹301-600),2
World In A Bowl,Yes,No,3.6,20,Koramangala 7th Block,Delivery,"Continental, North Indian, Desserts, Beverages",600.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Drunkling - Sizzlers and Pub,Yes,Yes,4.4,344,Koramangala 5th Block,"Casual Dining, Bar","Chinese, Continental, North Indian, Burger, Pizza, Seafood",1000.0,Delivery,Jayanagar,Premium (₹601-1000),3
Body Temple,Yes,No,3.3,12,BTM,Quick Bites,Healthy Food,500.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Samosa Express,Yes,No,3.1,9,BTM,Quick Bites,Street Food,150.0,Delivery,Jayanagar,Budget (₹0-300),1
Udupi Sri Krishna Cafe,Yes,No,3.9,14,Jayanagar,Casual Dining,"North Indian, South Indian",600.0,Delivery,Jayanagar,Mid Range (₹301-600),2
InnerChef,Yes,No,3.9,152,Koramangala 7th Block,Delivery,"North Indian, Continental",500.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Maria's Goan Kitchen,Yes,No,3.9,392,Koramangala 7th Block,Casual Dining,"Goan, Chinese, Biryani",750.0,Delivery,Jayanagar,Premium (₹601-1000),3
The Chaat Shop,Yes,No,2.5,35,Basavanagudi,Quick Bites,Fast Food,200.0,Delivery,Jayanagar,Budget (₹0-300),1
J K Fish Land,Yes,No,3.6,35,Jayanagar,Quick Bites,"Seafood, Mangalorean",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Shri Vinayaka Ice N Juice,Yes,No,3.1,12,Basavanagudi,Quick Bites,"Beverages, Fast Food",150.0,Delivery,Jayanagar,Budget (₹0-300),1
Vinaya Cafe,Yes,No,3.7,55,JP Nagar,Quick Bites,"South Indian, Street Food, Juices",200.0,Delivery,Jayanagar,Budget (₹0-300),1
Cakes & Candles,Yes,No,3.1,11,Koramangala 5th Block,"Bakery, Dessert Parlor","Bakery, Desserts",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Prawn Crunch,Yes,No,3.2,7,BTM,Quick Bites,"Fast Food, Seafood",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Cafe Cosy,No,Yes,4.1,114,Jayanagar,Cafe,"Cafe, Chinese, Continental, Fast Food",800.0,Delivery,Jayanagar,Premium (₹601-1000),3
Taste Of Kolkata,Yes,No,3.1,59,BTM,Quick Bites,"Bengali, Chinese, Rolls",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Watson's,Yes,Yes,4.0,1017,JP Nagar,"Pub, Bar","Finger Food, Chinese, Continental",1300.0,Delivery,Jayanagar,Luxury (₹1000+),4
Kirthi's Biryani,Yes,No,3.8,145,Banashankari,Cafe,"Chinese, Cafe, Italian",700.0,Delivery,Jayanagar,Premium (₹601-1000),3
Indori Chatorey,Yes,No,2.8,138,BTM,Quick Bites,"North Indian, Street Food",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Brew Meister,Yes,Yes,4.1,975,Jayanagar,"Microbrewery, Casual Dining","North Indian, Continental, Finger Food, American, Asian",1500.0,Delivery,Jayanagar,Luxury (₹1000+),4
Drunken Monkey,Yes,No,4.2,116,BTM,"Beverage Shop, Quick Bites","Beverages, Fast Food",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Call A Cake,Yes,No,3.6,41,BTM,Delivery,Bakery,500.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Maa Durga Fast Food,Yes,No,3.6,21,Koramangala 8th Block,Quick Bites,"North Indian, Fast Food",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Yummy Biryani,Yes,No,3.8,41,Koramangala 7th Block,Quick Bites,Biryani,200.0,Delivery,Jayanagar,Budget (₹0-300),1
Shanthi Sagar,Yes,No,3.1,8,Koramangala 6th Block,Quick Bites,South Indian,250.0,Delivery,Jayanagar,Budget (₹0-300),1
Bombay Kulfi,Yes,No,3.8,18,Jayanagar,Dessert Parlor,"Desserts, Ice Cream",150.0,Delivery,Jayanagar,Budget (₹0-300),1
Graffitea,Yes,No,3.7,16,BTM,"Beverage Shop, Quick Bites","Beverages, Fast Food",200.0,Delivery,Jayanagar,Budget (₹0-300),1
Begin with us....Tea Time Cafe,Yes,No,3.8,36,Koramangala 7th Block,Beverage Shop,"Beverages, Tea",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Cafe Mondo,Yes,No,3.7,514,Basavanagudi,Cafe,"Cafe, Italian, Beverages",600.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Mockaholic Restro Beer Cafe,Yes,No,3.9,919,JP Nagar,Bar,"North Indian, Chinese, Pizza, BBQ",1000.0,Delivery,Jayanagar,Premium (₹601-1000),3
SGS Non Veg - Gundu Pulav,Yes,No,3.6,68,Jayanagar,Quick Bites,"Biryani, Fast Food",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Panther Cafe,Yes,No,3.5,8,BTM,Beverage Shop,Beverages,200.0,Delivery,Jayanagar,Budget (₹0-300),1
Crafted Plate,Yes,Yes,4.2,239,JP Nagar,"Casual Dining, Cafe","Cafe, Asian, Burger, Continental, Italian, Salad",600.0,Delivery,Jayanagar,Mid Range (₹301-600),2
3 Spice,Yes,No,3.9,157,Wilson Garden,Casual Dining,"North Indian, Chinese",450.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Donne Biriyani House,Yes,No,3.5,407,Jayanagar,Quick Bites,"Biryani, Andhra, Kebab",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Calorie Express,Yes,No,3.6,192,BTM,Delivery,Healthy Food,450.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Smoke - The Sizzler House,Yes,Yes,4.0,1384,Koramangala 7th Block,Casual Dining,"Continental, Chinese, Thai, Italian, BBQ, Steak",1100.0,Delivery,Jayanagar,Luxury (₹1000+),4
Paratha Junction,Yes,No,3.3,397,Jayanagar,Quick Bites,"North Indian, Chinese",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Ruh's Cafe,Yes,No,4.1,464,BTM,Cafe,"Cafe, American, Italian, Continental, Chinese",500.0,Delivery,Jayanagar,Mid Range (₹301-600),2
YumYumSouth,Yes,No,3.5,36,Koramangala 7th Block,Delivery,South Indian,600.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Ammus Hot N Cool,Yes,No,3.4,84,BTM,Quick Bites,"North Indian, Chinese",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Vyanjan,Yes,No,3.9,203,BTM,Quick Bites,"North Indian, Street Food",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Brew Point,Yes,No,3.6,10,JP Nagar,Cafe,"Cafe, American, Burger, Sandwich, Fast Food",500.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Hang10 Resto N Cafe,Yes,No,3.8,100,BTM,Cafe,"Cafe, North Indian, Chinese",700.0,Delivery,Jayanagar,Premium (₹601-1000),3
Mr. Beans - Home Cafe,Yes,Yes,4.2,2710,Koramangala 3rd Block,Cafe,"Cafe, Continental, Italian",1000.0,Delivery,Jayanagar,Premium (₹601-1000),3
Waffle-A-Go Go,Yes,No,3.9,70,Banashankari,Dessert Parlor,"Fast Food, Desserts, Ice Cream",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Mug N Bean,Yes,No,3.9,247,Jayanagar,Cafe,"Cafe, Continental, Italian, Burger",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Jalaram Sweets,Yes,No,3.8,32,Jayanagar,Sweet Shop,"Desserts, Mithai",250.0,Delivery,Jayanagar,Budget (₹0-300),1
Sri Sankara Cafe,Yes,No,3.6,26,BTM,Quick Bites,South Indian,100.0,Delivery,Jayanagar,Budget (₹0-300),1
Chung Wah Opus,Yes,No,3.0,57,JP Nagar,Casual Dining,"Chinese, Thai",650.0,Delivery,Jayanagar,Premium (₹601-1000),3
Cafe Medley,Yes,No,4.2,1061,Koramangala 5th Block,Cafe,"Cafe, Continental, Burger",800.0,Delivery,Jayanagar,Premium (₹601-1000),3
Marenahalli Donne Biriyani,Yes,No,3.9,261,JP Nagar,Quick Bites,"Biryani, Fast Food",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Bakers77,Yes,No,4.0,37,Jayanagar,"Bakery, Quick Bites","Bakery, Fast Food",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Chai Culture,Yes,No,3.6,8,Jayanagar,Beverage Shop,Beverages,200.0,Delivery,Jayanagar,Budget (₹0-300),1
Sonar Bangala,Yes,No,3.8,76,Koramangala 5th Block,Quick Bites,"Bengali, North Indian",500.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Kulkarni's New Uttara Karnataka Food Speciality Stores,Yes,No,3.4,6,JP Nagar,Quick Bites,South Indian,250.0,Delivery,Jayanagar,Budget (₹0-300),1
Biryani Magic,Yes,No,3.5,31,BTM,Quick Bites,"North Indian, Biryani",300.0,Delivery,Jayanagar,Budget (₹0-300),1
In Time Cane Juice,Yes,No,3.5,10,Kumaraswamy Layout,Beverage Shop,"Juices, Beverages",100.0,Delivery,Jayanagar,Budget (₹0-300),1
Petoo,Yes,No,4.0,23,BTM,Quick Bites,"North Indian, Fast Food, Beverages",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Chatter Platter,Yes,No,3.4,30,BTM,Quick Bites,"Street Food, North Indian",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Chilld Monk,Yes,No,3.5,8,BTM,Dessert Parlor,"Desserts, Ice Cream",250.0,Delivery,Jayanagar,Budget (₹0-300),1
The Hungers Zone,Yes,No,3.8,57,BTM,Quick Bites,"Fast Food, Italian, Pizza",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Pappu Da Dhaba,Yes,No,3.0,57,Jayanagar,Quick Bites,"North Indian, Fast Food, Beverages, Momos",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
The Ganache Factory,No,No,4.2,128,Jayanagar,Delivery,"Desserts, Bakery",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
24/7 Food Service,Yes,No,3.0,7,JP Nagar,"Takeaway, Delivery","South Indian, North Indian, Fast Food",300.0,Delivery,Jayanagar,Budget (₹0-300),1
360 Atoms Restaurant And Cafe,Yes,No,3.1,13,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Bathinda Junction,Yes,Yes,4.1,1244,Koramangala 5th Block,Casual Dining,North Indian,600.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Paratha Merchant,Yes,No,3.1,39,Kumaraswamy Layout,Quick Bites,North Indian,300.0,Delivery,Jayanagar,Budget (₹0-300),1
Black Cup Cafe,Yes,No,3.7,29,BTM,Cafe,"Cafe, Fast Food, Beverages",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Caffe Pascucci,Yes,Yes,4.0,791,JP Nagar,Casual Dining,"Continental, Italian, Beverages",1300.0,Delivery,Jayanagar,Luxury (₹1000+),4
Namma Banashankari Donne Biryani,Yes,No,4.0,99,JP Nagar,Quick Bites,"Biryani, Kebab",250.0,Delivery,Jayanagar,Budget (₹0-300),1
Dilli in a Box,Yes,No,3.7,7,Koramangala 7th Block,"Takeaway, Delivery","Fast Food, North Indian",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Pop Hop,Yes,No,4.1,205,Jayanagar,Dessert Parlor,"Ice Cream, Desserts",300.0,Delivery,Jayanagar,Budget (₹0-300),1
Hunger2Eat,Yes,No,3.7,26,BTM,Quick Bites,"Biryani, Fast Food, North Indian",400.0,Delivery,Jayanagar,Mid Range (₹301-600),2
High n Hungry,Yes,No,2.9,95,BTM,Delivery,"North Indian, South Indian, Chinese, Fast Food",700.0,Delivery,Jayanagar,Premium (₹601-1000),3
Sri Yaksha Shiv Sagar,Yes,No,3.6,24,Banashankari,Casual Dining,"North Indian, Chinese",600.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Meghana Foods,Yes,No,4.4,7220,Koramangala 5th Block,Casual Dining,"Biryani, Seafood, Andhra, North Indian",600.0,Delivery,Jayanagar,Mid Range (₹301-600),2
Milk N Shakes,Yes,No,3.7,45,Koramangala 8th Block,Beverage Shop,Beverages,300.0,Delivery,Jayanagar,Budget (₹0-300),1
